Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,,,serial_number,1,,number,1,,,,,,,,,,,,,
Data,0,file_id,type,4,,manufacturer,0,,product,0,,time_created,930702435,,,,,,,,,,,,,,,,,,,
Definition,0,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,file_creator,software_version,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,event,timestamp,1,,event,1,,event_type,1,,data,1,,event_group,1,,,,,,,,,,,,,,,,
Data,0,event,timestamp,930702435,s,event,0,,event_type,0,,timer_trigger,0,,event_group,0,,,,,,,,,,,,,,,,
Definition,0,developer_data_id,application_id,16,,developer_data_index,1,,application_version,1,,,,,,,,,,,,,,,,,,,,,,
Data,0,developer_data_id,application_id,3|2|1|0|5|4|7|6|8|9|10|11|12|13|14|15,,developer_data_index,0,,application_version,110,,,,,,,,,,,,,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,17,,units,10,,native_mesg_num,,,,,,,,,,,,,,
Data,0,field_description,developer_data_index,0,,field_definition_number,0,,fit_base_type_id,136,,field_name,Doughnuts Earned,,units,doughnuts,,native_mesg_num,18,,,,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,20,,units,8,,native_mesg_num,1,,,,,,,,,,,,,
Data,0,field_description,developer_data_index,0,,field_definition_number,2,,fit_base_type_id,136,,field_name,pronation_excursion,,units,degrees,,native_mesg_num,20,,,,,,,,,,,,,
Data,0,field_description,developer_data_index,0,,field_definition_number,3,,fit_base_type_id,136,,field_name,pitch_excursion,,units,degrees,,native_mesg_num,20,,,,,,,,,,,,,
Data,0,field_description,developer_data_index,0,,field_definition_number,4,,fit_base_type_id,136,,field_name,impact_gs,,units,gs,,native_mesg_num,20,,,,,,,,,,,,,
Data,0,field_description,developer_data_index,0,,field_definition_number,5,,fit_base_type_id,136,,field_name,footstrike_type,,units,type,,native_mesg_num,20,,,,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,11,,units,4,,native_field_num,1,,native_mesg_num,1,,,,,,,,,,
Data,0,field_description,developer_data_index,0,,field_definition_number,1,,fit_base_type_id,2,,field_name,Heart Rate,,units,bpm,,native_field_num,3,,native_mesg_num,20,,,,,,,,,,
Definition,0,record,timestamp,1,,speed,1,,stance_time,1,,pronation_excursion,1,,pitch_excursion,1,,impact_gs,1,,footstrike_type,1,,,,,,,,,,
Data,0,record,timestamp,1569345935,s,speed,18,m/s,stance_time,,ms,pronation_excursion,,degrees,pitch_excursion,,degrees,impact_gs,,gs,footstrike_type,,type,,,,,,,,,
Data,0,record,timestamp,1569345940,s,speed,30,m/s,stance_time,532,ms,pronation_excursion,12,degrees,pitch_excursion,65,degrees,impact_gs,15,gs,footstrike_type,11.0,type,,,,,,,,,
Data,0,record,timestamp,1569345945,s,speed,30,m/s,stance_time,258,ms,pronation_excursion,12,degrees,pitch_excursion,73,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345950,s,speed,27,m/s,stance_time,265,ms,pronation_excursion,11,degrees,pitch_excursion,76,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345955,s,speed,27,m/s,stance_time,277,ms,pronation_excursion,12,degrees,pitch_excursion,73,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345960,s,speed,29,m/s,stance_time,275,ms,pronation_excursion,11,degrees,pitch_excursion,73,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345965,s,speed,30,m/s,stance_time,275,ms,pronation_excursion,12,degrees,pitch_excursion,77,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345970,s,speed,30,m/s,stance_time,273,ms,pronation_excursion,13,degrees,pitch_excursion,75,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345975,s,speed,30,m/s,stance_time,263,ms,pronation_excursion,12,degrees,pitch_excursion,76,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345980,s,speed,31,m/s,stance_time,263,ms,pronation_excursion,11,degrees,pitch_excursion,76,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345985,s,speed,31,m/s,stance_time,261,ms,pronation_excursion,16,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345990,s,speed,31,m/s,stance_time,256,ms,pronation_excursion,13,degrees,pitch_excursion,78,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569345995,s,speed,32,m/s,stance_time,258,ms,pronation_excursion,13,degrees,pitch_excursion,79,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346000,s,speed,32,m/s,stance_time,262,ms,pronation_excursion,13,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346005,s,speed,31,m/s,stance_time,252,ms,pronation_excursion,15,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346010,s,speed,33,m/s,stance_time,261,ms,pronation_excursion,14,degrees,pitch_excursion,79,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346015,s,speed,32,m/s,stance_time,255,ms,pronation_excursion,15,degrees,pitch_excursion,83,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346020,s,speed,31,m/s,stance_time,252,ms,pronation_excursion,15,degrees,pitch_excursion,81,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346025,s,speed,31,m/s,stance_time,258,ms,pronation_excursion,14,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346030,s,speed,31,m/s,stance_time,259,ms,pronation_excursion,13,degrees,pitch_excursion,78,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346035,s,speed,30,m/s,stance_time,258,ms,pronation_excursion,14,degrees,pitch_excursion,78,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346040,s,speed,29,m/s,stance_time,263,ms,pronation_excursion,13,degrees,pitch_excursion,77,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
